id,regnum,website,IsValid,facebooklink,linkedinlink,twitterlink,youtubelink
24,107585515RR0004,"SYLVIE VALLEE,Invalid,,,,,
25,107585515RR0008,COURRIEL: ROSAIRE2@VIANET.CA,Valid,,,,,
26,107585820RR0001,CORAMH.ORG,Valid,http://www.facebook.com/#!/CORAMH,,,,
27,107586190RR0001,WWW.USER.DCCNET.COM/LADNER.UNITED/,Invalid,,,,,
28,107586471RR0001,WWW.OCEANVIEWCHURCH.CA,Valid,,,,,
29,107588527RR0001,WWW.LEPILIER.ORG,Valid,,,,,
30,107589913RR0001,WWW.LAIDLAWFDN.ORG,Valid,http://www.facebook.com/LaidlawFoundation,,,http://www.youtube.com/user/LaidlawFdn,
31,107590341RR0001,WWW.SEASIDEHIGHSPEED.COM\~P.MACLEAN,Invalid,,,,,
32,107590572RR0001,WWW.LAKEECHOBAPTIST.COM,Valid,http://www.facebook.com/#!/LakeEchoFellowshipBaptistChurchMexicoMissionsTrip?fref=ts,,http://www.twitter.com/lefbc,http://www.youtube.com/lefbc,
33,107590713RR0001,WWW.CLTB.CA,Valid,https://www.facebook.com/communitylivingtb,,,,
34,107590754RR0001,WWW.TBCDSB.ON.CA,Valid,,,,,
35,107590820RR0001,WWW.LSPC.CA,Valid,https://www.facebook.com/211North,,,,
36,107591182RR0001,WWW.LAKELANDREGIONALLIBRARY.CA,Valid,http://www.facebook.com/pages/Lakeland-Regional-Library/350216488410103,,,,
37,107591315RR0001,WWW.LAKEOFBAYSMISSIONCHURCH.CA,Invalid,,,,,
38,107591356RR0001,FIREFLYNW.CA,Valid,,,,,
39,107591372RR0001,LWDH.ON.CA,Valid,,,,,
40,107591596RR0001,WWW.LAKESHORECHURCH.CA,Valid,,,,,
41,107591851RR0001,WWW.AVATIL.ORG,Valid,,,,,
42,107591877RR0001,WWW.LAKESIDEBAPTIST.CA,Valid,,,,,
43,107592479RR0001,WWW.LAKEVIEWUNITEDCHURCH.COM,Valid,https://www.facebook.com/lakeviewunitedchurch,,,,
44,107592529RR0001,WWW.LAKEWINDERMEREALLIANCE.ORG,Valid,,,,,
45,107592545RR0001,WWW.LAKEWOODALLIANCE.COM,Valid,http://www.facebook.com/pages/Lakewood-Alliance-Church/77503624504,,,,
46,107593030RR0001,WWW.LAMAISONDEJONATHAN.CA,Valid,,,,,
47,107593071RR0001,WWW.MMSF.ORG,Valid,,,,,
48,107593261RR0001,WWW.QUATREFENETRES.COM,Valid,,,,,
49,107593998RR0001,WWW.LAMBETHUNITEDCHURCH.CA,Valid,,,,,
50,107594202RR0001,WWW.LAMBTONELDERLYOUTREACH.ORG,Valid,,,,,
51,107594269RR0001,WWW.LAMBTONCENTRE.COM,Valid,https://www.facebook.com/pages/Lambton-Centre/200078640046957,,,,
52,107594582RR0001,LAMPLIGHTPRESCHOOL.CA,Invalid,,,,,
53,107595092RR0002,LANARKLIBRARY.CA,Valid,,,,,
54,107596025RR0001,WWW.LEFC.CA,Valid,,,,,
55,107596181RR0001,WWW.LANGLEYPRESBYTERIAN.CA,Invalid,,,,,
56,107596637RR0001,WWW.LANSDOWNEPRESCHOOL.COM,Valid,https://www.facebook.com/lansdowneparentspage,,,,
57,107596702RR0001,WWW.LANSINGNURSERY.ORG,Valid,,,,,
58,107597262RR0001,WWW.PETITEMAISONDELAMISERICORDE.ORG,Valid,https://www.facebook.com/pages/La-Petite-Maison-de-la-Mis%C3%A9ricorde/245114882277410,,,,
59,107597528RR0001,PREMATERNELLEPASSEPARTOUT.COM,Valid,,,,,
60,107597650RR0001,WWW.LARCHEARNPRIOR.COM,Invalid,,,,,
61,107597668RR0001,WWW.LARCHEVANCOUVER.ORG,Valid,http://www.facebook.com/group.php?gid=8263478521,,,,
62,107597684RR0001,WWW.LARCHELETOILE.ORG,Valid,,http://www.linkedin.com/pub/ernie-anastos/9/480/921â€Ž,,http://www.youtube.com/watch?v=kmIl-FMbk34,
63,107597692RR0001,WWW.LARCHEWINNIPEG.ORG,Valid,,,,,
64,107597783RR0001,WWW.LARDERLAKEPUBLICLIBRARY.CA,Valid,,,,,
65,107599250RR0001,WWW.ALZMAURICIE.ORG,Valid,,,,,
66,107599573RR0001,HTTP://WWW.SSVP-MTL.ORG,Valid,,,,,
67,107599706RR0001,WWW.GENEALOGIE.ORG/CLUB/SGAR,Valid,,,,,
68,107599714RR0001,HTTP://WWW.CCFNE.NS.CA/�MUSEUM,Invalid,,,,,
69,107599730RR0001,HTTP://MARIGOT.CA,Valid,,,,,
70,107599748RR0001,WWW.SHSB.MB.CA,Valid,https://www.facebook.com/pages/Centre-du-Patrimoine/234786813250213,,,,
71,107599938RR0001,WWW.POSASDM.ORG,Valid,,,,,
72,107600108RR0001,www.associationbenevolebeaucesartigan.com/benevoles-614-accueil.php,Valid,,,,,
73,107600363RR0001,WWW.ACJQ.QC.CA,Valid,,,,,
74,107600728RR0001,WWW.APHRSO.ORG,Valid,,,,,
75,107600736RR0001,WWW.SPINA.QC.CA,Valid,,,,,
76,107601270RR0001,WWW.GOVANSK.COM,Valid,,,,,
77,107601593RR0001,WWW.LAMCANADA.CA,Valid,http://www.facebook.com/pages/Latin-America-Mission-Canada/161559173895161?ref=ts,,,,
78,107604001RR0001,WWW.LAWRENCEPARKCHURCH.CA,Valid,,,,,
79,107604456RR0001,WWW.LHPA.ORG,Invalid,,,,,
80,107605388RR0001,WWW.LEADSSERVICES.COM,Valid,,,,,
81,107605602RR0001,WWW.LEAMINGTONUNITEDCHURCH.COM,Valid,,,,,
82,107605727RR0001,WWW.LDASVI.BC.CA,Valid,,,,,
83,107605743RR0001,WWW.LDANS.CA,Valid,,,,,
84,107605776RR0001,LDCHATHAM-KENT.ORG,Valid,,,,,
85,107605784RR0001,WWW.NALD.CA/LDANWT.HTM,Invalid,,,,,
86,107605800RR0001,WWW.LDABC.CA,Valid,http://www.facebook.com/LDABC,,http://www.twitter.com/ldabc,http://www.youtube.com/user/ldabc,
87,107605818RR0001,WWW.LDALONDON.CA,Valid,,,,,
88,107606014RR0001,WWW.LEASIDEPRESBYTERIANCHURCH.CA,Valid,,,,,
89,107606303RR0001,LESPETITSSOLEIL.STE.VOILA.FR,Invalid,,,,,
90,107606311RR0001,WWW.ARQUEMUSE.COM,Valid,http://www.facebook.com/profile.php?id=100001080901092,,,,
91,107606584RR0001,CABSHAWINIGAN.ORG,Valid,https://www.facebook.com/cab.shawinigan,,,,
92,107606592RR0001,WWW.CENTREBENEVOLATSHYACINTHE.QC.CA,Invalid,,,,,
93,107606709RR0001,WWW.ENTRAIDERACINELAVOIE.ORG,Valid,,,,,
94,107607012RR0001,WWW.CFGPRDL.ORG,Valid,,,,,
95,107607038RR0001,CENTREGOELAND.ORG,Valid,,,,,
96,107607418RR0001,WWW.COGASPESIE.ORG,Valid,,,,,
97,107607798RR0001,WWW.URSULINESQUEBEC.COM,Valid,,,,,
98,107607822RR0001,WWW.SACREDHEART.QC.CA,Valid,http://www.facebook.com/SacredHeartMontreal,,,http://www.youtube.com/user/TheSacredHeartSchool,
99,107607889RR0001,CEGEPTH.QC.CA,Valid,,,,,
100,107608192RR0001,WWW.CONSEILDESARTSDEHEARST.CA,Valid,https://www.facebook.com/conseil.desarts?ref=tn_tnmn,,,,
101,107608614RR0001,WWW.LFWC.CA,Valid,,,,,
102,107608762RR0001,WWW.COVENANTCHRISTIAN.CA,Valid,,,,,
103,107609281RR0001,WWW.FDOI.ORG,Valid,,,,,
104,107610172RR0001,EBEVD.COM,Valid,,,,,
105,107610180RR0001,EGLISEBAPTISTEDEMONTREAL.CA,Valid,,,,,
106,107610636RR0001,WWW.HAVREDUFJORD.COM,Valid,http://www.facebook.com/pages/Havre-du-Fjord/300905573343620,,,,
107,107611600RR0001,NATURESCIENCES.QC.CA,Valid,,,,,
108,107611626RR0001,WWW.LACITADELLE.QC.CA,Valid,https://www.facebook.com/CitadelleQuebec,,,http://www.youtube.com/user/museeroyal?blend=5&amp;ob=5,
109,107611733RR0001,LENDRUMCHURCH.CA,Valid,http://www.facebook.com/villagesedmonton,,,,
110,107613473RR0001,PATROLEPREVOST.QC.CA,Valid,http://www.facebook.com/pages/Patro-Le-Prevost/247274715329043,,,,
111,107613622RR0001,WWW.COLLEGEFDL.CA,Valid,http://www.facebook.com/collegefdl,,,,
112,107613796RR0001,WWW.DUKEOFED.ORG,Valid,http://www.facebook.com/dukeofedcanada,http://www.linkedin.com/groups/Duke-Edinburghs-Award-Canada-4413097,,http://www.youtube.com/DOECanada,
113,107613903RR0001,RASJM@GC.AIRA.COM,Invalid,,,,,
114,107614000RR0001,WWW.RAPSIM.ORG,Valid,,,,,
115,107615031RR0001,LESCALEPOURELLE.ORG,Valid,,,,,
116,107615825RR0001,WWW.EMMS.CA,Valid,,,,,
117,107616575RR0001,WWW.LESEUIL.QC.CA,Valid,,,,,
118,107617581RR0001,WWW.GFGSESTRIE.CA,Valid,http://www.facebook.com/people/Grands-Fr%C3%A8res-Grandes-Soeurs/100002566671201,,,http://www.youtube.com/watch?v=LMG8EVEwdA8,
119,107619165RR0001,WWW3.TELEBENECINTERNET.COM/BENEDICTINES,Invalid,,,,,
120,107619322RR0001,WWW.MAISONDUPERE.ORG,Valid,https://www.facebook.com/MaisonduPere,,,http://www.youtube.com/user/maisondupere,
121,107620791RR0001,WWW.SCOUTDELOUTAOUAIS..CA,Invalid,,,,,
122,107620890RR0001,SSSTHABOR.ORG,Valid,,,,,
123,107620908RR0001,SSSTHABOR.ORG,Invalid,,,,,
124,107621443RR0001,WWW.CRIVIER.QC.CA,Valid,,,,,
125,107622532RR0001,WWW.LESTOURNESOLS.ORG,Valid,,,,,
126,107622987RR0001,WWW.LETHBRIDGECOLLEGE.CA,Valid,https://www.facebook.com/LethbridgeCollege,,,https://www.youtube.com/lethbridgecollege,
127,107623068RR0001,WWW.FIRSTB.NET,Valid,,,,,
128,107623241RR0001,WWW.CRHFOUNDATION.CA,Valid,,,,,
129,107623340RR0001,WWW.LETHSD.AB.CA,Valid,,,,,
130,107623423RR0001,WWW.TOURDELIRE.ORG,Valid,,,,,
131,107623654RR0001,www.lls.org/canada,Valid,,,,,
132,107625105RR0001,WWW.LIFEACTION.ORG,Valid,http://www.facebook.com/lifeactionministries,,,,
133,107625196RR0001,STUART DEANS",Invalid,,,,
134,107626145RR0001,WWW.LILLOOETBC.CA,Valid,,,,
135,107626194RR0001,WWW.LILRASCALS.CA,Invalid,,,,
136,107626590RR0001,WWW.LINCOLN.LIBRARY.ON.CA,Valid,http://www.facebook.com/pages/Lincoln-Public-Library/115678635175024,,,
137,107626608RR0001,LRUC.CA,Valid,,,,
138,107626830RR0001,LINDAHOWARTHPRESCHOOL.CA,Valid,,,,
139,107627317RR0001,WWW.BGCKAWARTHALAKES.COM,Valid,http://www.facebook.com/bgckl,,,http://www.youtube.com/user/BGCKL
140,107627341RR0001,WWW.LINDSAYCRC.CA,Valid,,,,
141,107627366RR0001,COMMUNITYLIVINGKL.CA,Valid,,,,
142,107627499RR0001,KNBRIGGS@XPLORNET.CA,Valid,,,,
143,107628497RR0001,WWW.LIONSQUEST.CA,Valid,,,,
144,107628901RR0001,LISLEMEMORIALBAPTIST.ORG,Valid,,,,
145,107629156RR0001,WWW.NWELRC.CA,Valid,,,,
146,107629941RR0001,WWW.LITTLEMOUNTAINCARE.ORG,Valid,,,,
147,107630071RR0001,WWW.LITTLEPEOPLES.CA,Valid,,,,
148,107630873RR0001,WWW.WORLDSERVE.ORG,Invalid,,,,
149,107630881RR0001,WWW.LIVINGBRANCHES.CA,Valid,,,,
150,107630915RR0001,WWW.LIVINGFAITH.NET,Valid,,,,http://www.youtube.com/watch?v=HbsgLP7UEuc
151,107630931RR0001,WWW.LFBC.NET,Valid,,,,
152,107630964RR0001,WWW.LIGHTHOUSETOALLNATIONS.COM,Valid,https://www.facebook.com/pages/Lighthouse-to-all-Nations-Church/103353556388938,,,
153,107631004RR0001,WWW.LIVINGHOPE-CA.ORG,Valid,,,,
154,107631228RR0001,LIVINGWATERASSEMBLY.ORG,Valid,,,,
155,107631293RR0001,WWW.LWCHURCH.CA,Valid,http://www.facebook.com/lwchurchca,,,
156,107631319RR0001,WWW.LIVINGWATERSFAITH.ORG,Valid,,,,
157,107631368RR0001,CONNECTCHURCH.CA,Valid,https://www.facebook.com/connectchurch.abbotsford,,,
158,107631830RR0001,ADULTDAYCENTERS.ORG/LCHAIM,Invalid,,,,
159,107632325RR0001,WWW.LGFWEB.ORG,Valid,,,,
160,107632432RR0001,WWW.LPSD.CA,Valid,,,,
161,107640724RR0001,LOGOSCHURCH.CA,Valid,,,,
162,107641540RR0001,HTTP://LONDESBOROUGHUNITED.COM,Valid,,,,
163,107641573RR0001,WWW.RIGHT2LIFE.CA,Valid,http://www.facebook.com/camilla.cobhamgunnarson?ref=tn_tnmn#!/londonright2life?fref=ts,,,
164,107641581RR0001,WWW.DISCOVERHERITAGE.CA,Invalid,,,,
165,107641722RR0001,WWW.LCRC.ON.CA,Valid,http://www.facebook.com/pages/London-Community-Resource-Centre/112997211711?ref=hl,http://www.linkedin.com/company/2686099,http://www.twitter.com/londonCRC,
166,107641763RR0001,WWW.LONDONCONFERENCE.CA,Valid,https://www.facebook.com/uccyayan,,,http://www.youtube.com/channel/UCwXE33RTsKxV-isk-Ffr_CA
167,107641953RR0001,WWW.LCF.ON.CA,Valid,http://www.facebook.com/pages/London-Community-Foundation/143849571968,http://www.linkedin.com/groups/London-Community-Foundation-3918719?gid=3918719&amp;mostPopular=&amp;trk=tyah ,,http://www.youtube.com/user/Ldncommfdn
168,107641987RR0001,LGT.ORG,Valid,,,,
169,107642035RR0001,WWW.DAYACOUNSELLING.ON.CA,Valid,http://www.facebook.com/pages/Daya-Counselling-Centre/143223122376786,,,http://www.youtube.com/watch?v=A6FsO6nZPXU&amp;feature=youtu.be
170,107642670RR0001,WWW.LPRCA.ON.CA,Valid,,,,
171,107642845RR0001,LONSDALECREEKDAYCARECENTRE.CA,Invalid,,,,
172,107643207RR0001,WWW.LORDOFLIFEMILLWOODS.COM,Valid,,,,
173,107643397RR0001,WWW.ISSD.CA,Invalid,,,,
174,107646358RR0001,WWW.LCC.CA,Valid,https://www.facebook.com/lowercanadacollege,http://www.linkedin.com/groups?mostPopular=&amp;gid=683157,http://www.twitter.com/wearelcc,http://www.youtube.com/lowercanadacollege
175,107646366RR0001,KNOWGOGROW.CA,Invalid,,,,
176,107646408RR0001,WWW.CENTREFORCHILDDEVELOPENT.CA,Invalid,,,,
177,107646481RR0001,WWW.STLEO.CA,Valid,,,,
178,107646556RR0001,WWW.LSCSS.COM,Valid,,,,
179,107646598RR0001,WWW.LTC.ON.CA,Valid,http://www.facebook.com/pages/Lower-Trent-Conservation/197471386942314,,http://www.twitter.com/LowerTrent,
180,107646648RR0001,WWW.LOWVILLEUNITED.CA,Invalid,,,,
181,107646671RR0001,WWW.LOYALISTCOLLEGE.COM,Valid,https://www.facebook.com/loyalistcollege,,,
182,107649170RR0001,WWW.HVH.CA,Valid,,,,
183,107649485RR0001,WWW.LUTESMTNCHURCH.CA,Valid,,,,
184,107649667RR0002,WWW.LCCABC.CA,Valid,,,,
185,107649725RR0001,LCCCENTRAL.CA,Valid,,,,
186,107649766RR0001,WWW.OURSAVIOURCHURCH.CA,Valid,,,,
187,107649782RR0001,WWW.CHURCHOFTHECROSS.CA,Valid,,,,
188,107649824RR0001,WWW.LUTHERANCHURCHOFTHEGOODSHEPHERD.CA,Invalid,,,,
189,107649899RR0001,WWW.LCBI.SK.CA,Valid,https://www.facebook.com/pages/LCBI-High-School/10150089137100296,,,
190,107649931RR0001,WWW.LHMSAC.CA,Invalid,,,,
191,107650061RR0001,WWW.LUTHERCOLLEGE.EDU,Invalid,,,,
192,107650087RR0001,WWW.LUTHERCOURT.ORG,Invalid,,,,
193,107650129RR0001,WWW.LBTC.CA,Valid,http://www.facebook.com/LutheranBibleTranslators,,,
194,107650178RR0001,LUTHERWOOD.CA,Valid,http://www.facebook.com/lutherwoodjobs,http://www.linkedin.com/company/lutherwood/,http://www.twitter.com/lutherwood,http://www.youtube.com/user/LutherwoodCanada
195,107650194RR0001,LUTHERWOOD.CA,Invalid,,,,
196,107651309RR0001,LVPPP.ORG,Valid,,,,
197,107652521RR0001,WWW.MACKAYUNITED.CA,Invalid,,,,
198,107653131RR0001,WWW.MACNEILLBAPTIST.CA,Valid,,,,
199,107653321RR0001,WWW.VANIER.COM,Valid,,,,
200,107653347RR0001,WWW.MVACL.CA,Valid,,,,
201,107654394RR0001,WWW.MAHAGANAPATHYTEMPLE.COM,Valid,,,,
202,107654410RR0001,<MSSOONLINE.ORG>,Invalid,,,,
203,107655029RR0001,WWW.MAINSTREETBAPTIST-SACKVILLE.COM,Valid,,,,
204,107655094RR0001,WWW.MAINSTREETPROJECT.CA,Valid,,,,
205,107655110RR0001,MAINSTREETUNITED.CA,Valid,https://www.facebook.com/pages/Main-Street-United-Church/183124701763351?ref=hl#!/pages/Main-Street-United-Church-Sunday-School/183555221655624,,,
206,107655193RR0001,WWW.BALDWINHOUSE.CA,Valid,,,,
207,107655409RR0001,WWW.BIBLIO.RINALASNIER.QC.CA,Valid,https://www.facebook.com/pages/Biblioth%C3%A8que-Rina-Lasnier/257823450911432,,,
208,107655730RR0001,MDJSTBRUNO.ORG,Valid,,,,
209,107655920RR0001,WWW.MAISONVIVRE.ORG,Valid,,,,
210,107656084RR0001,WWW.CFOPAYS.ORG,Valid,http://www.facebook.com/centre.opays,,,
211,107656100RR0001,WWW.MAISONFRATERNITE.CA,Valid,,,,
212,107656266RR0001,WWW.JESUSOUVRIER.ORG,Invalid,,,,
213,107656274RR0001,MAISONSDEJEUNES.QC.CA,Invalid,,,,
214,107656837RR0001,WWW.MRADISSON.CA,Valid,,,,
215,107657207RR0001,WWW.MVCA.ON.CA,Valid,,,,
216,107657371RR0001,WWW.MAKEAWISHBC.CA,Valid,http://www.facebook.com/pages/Make-A-Wish-Foundation-of-BC-Yukon/148750288516082,,,http://www.youtube.com/user/MakeAWishBC
217,107657678RR0001,WWW.VIU.CA,Valid,http://www.facebook.com/LoveWhereYouLearn,http://www.linkedin.com/companies/vancouver-island-university,,http://www.youtube.com/user/viuchannel
218,107657777RR0001,WWW.LIFE-SPRING.ORG,Valid,,,,
219,107658239RR0001,WWW.MALMOMC.COM,Valid,,,,
220,107658288RR0001,WWW.KENNEIPE.CA/PAGES/KEIR,Invalid,,,,
221,107658361RR0001,WWW.MCASSEMBLY.COM,Valid,https://www.facebook.com/MCAssembly,,,http://www.youtube.com/6705mcassembly
222,107658387RR0001,WWW.MALVERNEMMANUELUC.CA,Valid,,,,
223,107658395RR0001,WWW.MFRC.ORG,Valid,,,,
224,107659369RR0001,WWW.MANHATTANBEACH.MB.CA,Valid,,,,
225,107659427RR0001,RICKHANSEN.COM,Valid,http://www.facebook.com/rickhansenfdn,,,http://www.youtube.com/rickhansenfdn
226,107659831RR0001,WWW.MCCAHOUSE.ORG,Valid,,,,
227,107660151RR0001,WWW.MBGENEALOGY.COM,Valid,https://www.facebook.com/?sk=lf#!/pages/Manitoba-Genealogical-Society-Inc/7054423205,,http://www.twitter.com/MbGenealogy,
228,107660193RR0001,WWW.MHRC.MB.CA,Valid,https://www.facebook.com/pages/Manitoba-Health-Research-Council/424563800923492,,http://www.twitter.com/DiscoverMitacs:,
229,107660292RR0001,www.micec.com,Valid,http://www.facebook.com/micec.mb,,,
230,107660367RR0001,WWW.MIAONLINE.ORG,Valid,,,,
231,107660680RR0001,WWW.PRINTMAKERS.MTS.CA,Invalid,,,,
232,107660979RR0001,WWW.MBWI.ORG,Valid,https://www.facebook.com/pages/Manitoba-Womens-Institute/557282304320877,,,
233,107661050RR0001,WWW.CLMANITOULIN.CA,Invalid,,,,
234,107662025RR0001,MANORROADNURSERY.COM,Invalid,,,,
235,107662041RR0001,MANOTICKCNS.ORG,Invalid,,,,
236,107662819RR0001,WWW.MAPLECITYBAPTISTCHURCH.COM,Valid,,,,
237,107662827RR0001,WWW.ACTIVELIFESTYLECENTRE.ORG,Invalid,,,,
238,107663288RR0001,MAPLEPARKALLIANCECHURCH.CA,Valid,,,,
239,107663312RR0001,WWW.THEACTMAPLERIDGE.ORG,Valid,,,,
240,107663320RR0001,www.ridgebaptist.ca,Valid,,,,
241,107663403RR0001,WWW.FAMILYED.BC.CA,Valid,http://www.facebook.com/FamilyEducationAndSupportCentre,,,
242,107663437RR0001,WWW.MAPLERIDGEMUSEUM.ORG,Valid,,,,
243,107663874RR0001,WWW.MARANATHACHRISTIAN.CA,Valid,,,,
244,107663890RR0001,WWW.HARVESTCITY.SK.CA,Valid,https://www.facebook.com/hcc.zambia?ref=ts&amp;fref=ts,,,
245,107663981RR0001,WWW.MARANATHA-CRC.CA,Valid,,,,
246,107663999RR0001,WWW.MARANATHACRC.ORG,Valid,,,,
247,107664013RR0001,WWW.MEMBERS.SHAW.CA/MARANATHA.CRC.,Valid,,,,
248,107664047RR0001,MEFREE.CA,Valid,,,,
249,107667701RR0002,WWW.MARIANOPOLIS.EDU,Valid,https://www.facebook.com/events/234772830062589/?ref=22,,,https://www.youtube.com/watch?v=A6cZgY6ZxwA
250,107668998RR0001,WWW.MARINEMUSEUM.CA,Valid,,,,
251,107669848RR0009,WWW.PEISDA.ORG,Valid,,,,
252,107669848RR0020,WWW.MARITIMESDA.COM,Valid,,,,
253,107672495RR0001,WWW.MMUC.ORG,Valid,,,,
254,107673345RR0001,WWW.MARTINLUTHERCHURCHVANCOUVER.COM,Valid,,,,
255,107673733RR0001,WWW.MARTYRS-SHRINE.COM,Valid,,,,
256,107676009RR0001,WWW.MMOC.CA,Valid,https://www.facebook.com/MMOCYouthMinistry,,,
257,107676017RR0001,MARYMOUND.COM,Valid,,,,
258,107677114RR0001,WWW.MASSEYAREAMUSEUM.COM,Valid,,,,
259,107680092RR0001,MAYFIELDUNITEDCHURCH.ORG,Valid,,,,
260,107682593RR0001,WWW.MCGREGORCHILDCARE.COM,Valid,,,,
261,107682890RR0001,MCIVORCHURCH.COM,Valid,https://www.facebook.com/pages/McIvor-Avenue-Mennonite-Brethren-Church/119727261437458?fref=ts,,,
262,107683195RR0001,EDMONTON1ST.MENNONITECHURCH.AB.CA,Valid,,,,
263,107683229RR0001,WWW.MCKILLOPUNITED.CA,Valid,http://www.facebook.com/pages/McKillop-United-Church/226837016271?ref=ts,,,
264,107683328RR0001,WWW.MCLARENHOUSING.COM,Valid,,,,
265,107683989RR0001,WWW.CENTRETOWNUNITED.ORG,Valid,,,,
266,107684086RR0001,WWW.MCMASTER.CA/CHAPLAIN,Invalid,,,,
267,107684466RR0001,MCPHAILBAPTIST.CA,Valid,,,,
268,107685398RR0001,WWW.BROOKLINRBC.CA,Valid,,,,
269,107685620RR0001,WWW.K-9CHRISTIAN.COM,Valid,,,,
270,107685653RR0001,www.meadowmontessori.ca,Valid,,,,
271,107685745RR0001,WWW.MEADOWRIDGE.BC.CA,Valid,http://www.facebook.com/meadowridge,http://www.linkedin.com/pub/meadowridge-school/2a/6a7/316,,
272,107686016RR0001,WWW.MEAFORD.COM/TOWN/CHURCH.UNITED.HTUL,Invalid,,,,
273,107686388RR0001,WWW.ATWATERLIBRARY.CA,Valid,http://www.facebook.com/#!/pages/Atwater-Library-and-Computer-Centre/197740473587129,,,
274,107687220RR0001,WWW.MCC.CA,Valid,,,,
275,107687725RR0001,WWW.MEDHATCHRISTIANSCHOOL.COM,Valid,,,,
276,107687816RR0001,WWW.COREASSOC.NET,Invalid,,,,
277,107687923RR0001,WWW.MHSANTAFUND.COM,Valid,http://www.facebook.com/SantaClausFund,,,
278,107688483RR0001,WWW.MEEWASINVALLEYVUNITED.COM,Invalid,,,,
279,107689598RR0001,WWW.MELROSEUNITED.CA,Valid,,,,
280,107689879RR0001,MELVILLEUNITED.COM,Valid,,,,
281,107690117RR0001,WWW.BGCLONDON.CA,Invalid,,,,
282,107690273RR0001,WWW.MUN.CA,Valid,,,,https://www.youtube.com/watch?v=Ojgml6dbKwo
283,107690844RR0001,HTTP://MCCALBERTA.CA,Valid,,,,
284,107690877RR0001,WWW.MCC.ORG,Valid,http://www.facebook.com/MennoniteCentralCommittee,,http://www.twitter.com/mccorg,
285,107690885RR0001,WWW.MCCMANITOBA.CA,Valid,http://www.facebook.com/pages/Mennonite-Central-Committee-MCC-Manitoba/114050188625831?ref=mf,,,
286,107690901RR0001,MCCSK.CA,Valid,https://www.facebook.com/pages/Mennonite-Central-Committee-Saskatchewan/189230422175?ref=hl,,,
287,107690927RR0001,WWW.BC.MCC.ORG,Invalid,,,,
288,107690992RR0001,WWW.WELCOMEINN.CA,Valid,,,,
289,107691057RR0001,WWW.MEDA.ORG,Valid,,,,
290,107691065RR0001,WWW.MEISCHOOLS.COM,Valid,http://www.facebook.com/pages/MEI-Schools/121446387975066,,,
291,107691149RR0001,WWW.MNLCT.ORG,Valid,https://www.facebook.com/pages/Mennonite-New-Life-Centre/124938537568073,,,http://www.youtube.com/user/TheMNLCT
292,107691354RR0001,WWW.HABITATSERVICES.ORG,Valid,,,,
293,107691552RR0001,WWW.TURNINGPOINT.CA,Valid,https://www.facebook.com/TurningPointYouthServices,,,
294,107691651RR0001,WWW.MERIDIANFOUNDATION.CA,Valid,,,,
295,107692170RR0001,WWW.MERRITTFAMILYRESOURCES.COM,Valid,,,,
296,107692196RR0001,MERRITTCROSSROADS.COM,Invalid,,,,
297,107692329RR0001,WWW.MERSEAUNITEDCHURCH.COM,Valid,,,,
298,107692543RR0001,WWW.LAKESHORENURSERY.COM,Valid,,,,
